"FIPS_N","ag","black","feemp","foreign","hisp","hsch","manu","povty","retail"
27169,4.820000172,0.769999981,63.08000183,2.710000038,1.370000005,30.18000031,24.27000046,13.34000015,10.72000027
26123,3.569999933,1.120000005,51.90000153,1.779999971,3.849999905,40.36000061,27.27000046,10.48999977,11.34000015
26157,2.920000076,1.070000052,53.56000137,1.090000033,2.299999952,41.75999832,26.34000015,7.739999771,12.90999985
26141,5.019999981,0.25999999,43.22000122,1.179999948,0.550000012,38.38000107,11.72000027,9.359999657,13.31000042
26025,0.949999988,10.89000034,55.02999878,2.359999895,3.150000095,35.59000015,26.09000015,10.22999954,11.39999962
26111,0.529999971,1.049999952,55.25,3.150000095,1.549999952,29.95999908,25.5,7.940000057,10.53999996
26019,1.139999986,0.280000001,53.06000137,1.679999948,1.460000038,36.40000153,14.88000011,6.71999979,14.60999966
26069,1.399999976,0.409999996,43.09000015,1.25999999,0.980000019,40.22999954,19.03000069,12.03999996,15.05000019
26001,4.489999771,0.159999996,37.18000031,1.5,0.689999998,41.86000061,18.93000031,12.25,13.31000042
26045,0.970000029,5.289999962,61.08000183,2.190000057,3.210000038,30.37000084,18.21999931,5.300000191,11.63000011
26053,2.430000067,1.75999999,44.36000061,1.25999999,0.879999995,38.45999908,13.61999989,14.01000023,13.09000015
26011,3.279999971,1.820000052,47.00999832,1.080000043,1.379999995,42.22000122,19.78000069,12.82999992,13.77000046
26063,7.789999962,0.189999998,48.38999939,1.409999967,1.639999986,42.93000031,28.05999947,9.350000381,10.77999973
26137,1.159999967,0.180000007,56.20000076,1.580000043,0.75,36.38999939,15.35000038,6.179999828,14.18999958
26153,5.269999981,1.629999995,44.25999832,1.029999971,0.930000007,43.90999985,10.93000031,11.86999989,11.96000004
26081,0.540000021,8.930000305,60.74000168,6.639999866,7,28.25,23.72999954,8.239999771,13.15999985
26051,3.599999905,0.129999995,43.11000061,1.269999981,0.959999979,41.56000137,21.92000008,13.28999996,12.68999958
